long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2021,NT,8.5,sc47,0,0,84,5,11,7,,,,,,12.59,4.43,12.59,-0.5291111,25.1325,9.33837,37.13,,,,,
-110.0472,37.60413,2021,NT,8.5,sc47,0,0,84,5,11,7,,,,,,12.59,4.43,5.72,-0.5291111,25.1325,-0.5291111,37.13,,,,,
-110.0472,37.60413,2021,NT,8.5,sc47,0,0,84,5,11,7,0.0,2.55387116718329,36.064,75.0,0.0005878499899185,,,,,,,,-21.65,0.105116117141707,0.09297244712155,0.0417390710987253,0.0847526043540248
-110.0472,37.60413,2021,NT,8.5,sc48,0,0,84,5,11,7,,,,,,16.56,7.69,,0.9506667,23.645,,37.29,,,,,
-110.0472,37.60413,2021,NT,8.5,sc48,0,0,84,5,11,7,0.0,3.08202073278536,36.1,64.0,0.0919578763482287,,,,,,,,-12.0,0.14037311364251,0.0882654478935922,0.0433810076902604,0.0589109529868415
-110.0472,37.60413,2021,NT,8.5,sc49,0,0,84,5,11,7,,,,,,11.32,4.11,11.32,0.9246667,24.28136,0.9246667,38.67,,,,,
-110.0472,37.60413,2021,NT,8.5,sc49,0,0,84,5,11,7,,,,,,11.32,4.11,11.32,0.9246667,24.28136,24.28136,38.67,,,,,
-110.0472,37.60413,2021,NT,8.5,sc49,0,0,84,5,11,7,,,,,,11.32,4.11,4.11,0.9246667,24.28136,0.9246667,38.67,,,,,
-110.0472,37.60413,2021,NT,8.5,sc49,0,0,84,5,11,7,,,,,,11.32,4.11,4.11,0.9246667,24.28136,24.28136,38.67,,,,,
-110.0472,37.60413,2021,NT,8.5,sc49,0,0,84,5,11,7,0.0,2.58496142663253,36.937,70.0,0.0003256888183394,,,,,,,,-22.92,0.136426578303697,0.076697339373839,0.0415034482894151,0.04681547151426
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,,,,,,11.07,13.08,11.07,-1.747222,22.42234,10.36592,33.46,,,,,
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,,,,,,11.07,13.08,11.07,-1.747222,22.42234,-1.747222,33.46,,,,,
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,,,,,,11.07,13.08,11.07,-1.747222,22.42234,22.42234,33.46,,,,,
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,,,,,,11.07,13.08,13.08,-1.747222,22.42234,22.42234,33.46,,,,,
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,,,,,,11.07,13.08,8.99,-1.747222,22.42234,22.42234,33.46,,,,,
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,,,,,,11.07,13.08,8.99,-1.747222,22.42234,10.36592,33.46,,,,,
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,,,,,,11.07,13.08,13.08,-1.747222,22.42234,10.36592,33.46,,,,,
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,,,,,,11.07,13.08,8.99,-1.747222,22.42234,-1.747222,33.46,,,,,
